"","bag_site","site_name","bags_label","finalTissue_VialLabel","finalTissue_condition","finalTissue_gonadIndex","gonad","condition"
"16","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250970","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","0"
"17","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250986","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"18","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250983","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"19","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250975","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"20","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250992","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"21","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250997","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"22","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250987","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"23","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250989","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","0"
"24","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250995","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"25","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250981","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"26","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250973","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"27","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250971","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"28","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250980","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"29","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250994","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"30","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250977","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"31","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250993","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"32","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250996","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"33","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250976","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"34","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250978","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"35","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250982","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"36","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250985","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"37","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250972","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"38","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250998","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"39","YorkRiver","W2_LA","MVP-LA-4","CviMVPf_250991","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"40","YorkRiver","W6_ME","MVP-ME-4","CviMVPf_251060","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"41","YorkRiver","W6_ME","MVP-ME-4","CviMVPf_251059","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","4 - Follicles clearly defined and engorged","4","3"
"42","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251219","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"43","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251214","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"44","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251225","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"45","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251090","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"46","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251220","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","1"
"47","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251212","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"48","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251216","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"49","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251223","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"50","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251217","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"51","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251211","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"52","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251302","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"53","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251303","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"54","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251213","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"55","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251224","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"56","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251092","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"57","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251301","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"58","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251215","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"59","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251227","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","1"
"60","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251304","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"61","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251226","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"62","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251205","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"63","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251091","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"64","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251222","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"65","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251210","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"66","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251206","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"67","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251221","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","4 - Follicles clearly defined and engorged","4","2"
"68","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251207","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"69","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251218","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"70","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251209","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"71","YorkRiver","S2_DEBY","MVP-DEBY-5","CviMVPf_251208","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"72","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251330","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"73","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251313","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"74","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251320","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"75","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251327","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"76","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251321","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"77","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251324","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"78","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251315","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"79","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251325","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"80","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251323","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"81","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251319","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"82","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251305","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"83","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251311","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"84","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251318","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","3"
"85","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251317","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"86","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251333","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"87","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251308","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"88","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251309","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","3"
"89","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251314","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","1"
"90","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251334","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"91","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251316","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"92","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251312","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"93","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251326","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","1"
"94","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251331","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"95","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251332","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"96","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251328","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"97","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251322","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"98","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251310","4 - Tissue extremely opaque stands up, no visible organs, rich creamy color, no shrinkage","4 - Follicles clearly defined and engorged","4","4"
"99","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251329","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","0 - No visible gonadal development","0","1"
"100","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251307","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","1"
"101","YorkRiver","S2_DEBY","MVP-DEBY-4","CviMVPf_251306","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"102","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251400","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"103","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251405","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"104","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251418","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"105","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251398","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"106","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251410","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"107","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251417","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"108","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251392","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"109","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251397","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"110","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251414","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","3"
"111","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251401","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"112","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251409","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"113","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251406","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"114","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251399","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"115","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251403","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"116","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251391","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"117","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251389","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"118","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251390","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"119","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251402","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"120","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251412","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"121","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251407","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"122","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251393","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","3"
"123","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251395","0 - Watery and transparent does not fill shell cavity, extreme shrinkage","0 - No visible gonadal development","0","0"
"124","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251404","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"125","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251413","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"126","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251396","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"127","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251411","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"128","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251394","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","2"
"129","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251415","1 - Not watery or transparent, organs somewhat visible, fills shell cavity, moderate  shrinkage","1 - Slight gonadal development, no clearly defined follicles","1","1"
"130","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251416","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"131","YorkRiver","W3_FL","MVP-FL-4","CviMVPf_251408","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"132","Lewisetta","W3_FL","MVP-FL-2","CviMVPf_250279","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","3 - Follicles clearly defined and gonad appears to be full","3","2"
"133","Lewisetta","W3_FL","MVP-FL-2","CviMVPf_250268","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"134","Lewisetta","W3_FL","MVP-FL-2","CviMVPf_250276","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","4 - Follicles clearly defined and engorged","4","3"
"135","Lewisetta","W3_FL","MVP-FL-2","CviMVPf_250253","3 - Tissue fills cavity, totally opaque, no organs visible, meat stands up, slight shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","3"
"136","Lewisetta","W3_FL","MVP-FL-2","CviMVPf_250271","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"137","Lewisetta","W3_FL","MVP-FL-2","CviMVPf_250274","2 - Tissue fills cavity and is opaque, organs not visible, meat unable to stand up, some  shrinkage","2 - Gonad clearly obvious but follicles not clearly defined","2","2"
"138","Lewisetta","W3_FL","MVP-FL-2","CviMVPf_250258","4 - Tissue extremely opaque stands up, no visible organs, rich creamy color, no shrinkage","4 - Follicles clearly defined and engorged","4","4"
